date,index_name,open,high,low,close
2005-04-01,Nifty500 Value 50,0.0,0.0,0.0,1000.0
2005-04-04,Nifty500 Value 50,0.0,0.0,0.0,994.18
2005-04-05,Nifty500 Value 50,0.0,0.0,0.0,980.92
2005-04-06,Nifty500 Value 50,0.0,0.0,0.0,1001.34
2005-04-07,Nifty500 Value 50,0.0,0.0,0.0,1001.88
2005-04-08,Nifty500 Value 50,0.0,0.0,0.0,996.57
2005-04-11,Nifty500 Value 50,0.0,0.0,0.0,990.16
2005-04-12,Nifty500 Value 50,0.0,0.0,0.0,996.6
2005-04-13,Nifty500 Value 50,0.0,0.0,0.0,997.5
2005-04-15,Nifty500 Value 50,0.0,0.0,0.0,971.11
2005-04-18,Nifty500 Value 50,0.0,0.0,0.0,965.13
2005-04-19,Nifty500 Value 50,0.0,0.0,0.0,955.63
2005-04-20,Nifty500 Value 50,0.0,0.0,0.0,960.54
2005-04-21,Nifty500 Value 50,0.0,0.0,0.0,973.16
2005-04-22,Nifty500 Value 50,0.0,0.0,0.0,975.25
2005-04-25,Nifty500 Value 50,0.0,0.0,0.0,984.12
2005-04-26,Nifty500 Value 50,0.0,0.0,0.0,988.22
2005-04-27,Nifty500 Value 50,0.0,0.0,0.0,974.97
2005-04-28,Nifty500 Value 50,0.0,0.0,0.0,962.25
2005-04-29,Nifty500 Value 50,0.0,0.0,0.0,944.49
2005-05-02,Nifty500 Value 50,0.0,0.0,0.0,947.29
2005-05-03,Nifty500 Value 50,0.0,0.0,0.0,948.69
2005-05-04,Nifty500 Value 50,0.0,0.0,0.0,961.48
2005-05-05,Nifty500 Value 50,0.0,0.0,0.0,982.1
2005-05-06,Nifty500 Value 50,0.0,0.0,0.0,986.65
2005-05-09,Nifty500 Value 50,0.0,0.0,0.0,997.71
2005-05-10,Nifty500 Value 50,0.0,0.0,0.0,991.97
2005-05-11,Nifty500 Value 50,0.0,0.0,0.0,990.92
2005-05-12,Nifty500 Value 50,0.0,0.0,0.0,1004.58
2005-05-13,Nifty500 Value 50,0.0,0.0,0.0,1008.99
2005-05-16,Nifty500 Value 50,0.0,0.0,0.0,1026.43
2005-05-17,Nifty500 Value 50,0.0,0.0,0.0,1015.06
