date,index_name,open,high,low,close
2005-04-01,Nifty500 Quality 50,0.0,0.0,0.0,1000.0
2005-04-04,Nifty500 Quality 50,0.0,0.0,0.0,996.81
2005-04-05,Nifty500 Quality 50,0.0,0.0,0.0,985.34
2005-04-06,Nifty500 Quality 50,0.0,0.0,0.0,994.42
2005-04-07,Nifty500 Quality 50,0.0,0.0,0.0,992.09
2005-04-08,Nifty500 Quality 50,0.0,0.0,0.0,982.17
2005-04-11,Nifty500 Quality 50,0.0,0.0,0.0,973.97
2005-04-12,Nifty500 Quality 50,0.0,0.0,0.0,982.55
2005-04-13,Nifty500 Quality 50,0.0,0.0,0.0,982.54
2005-04-15,Nifty500 Quality 50,0.0,0.0,0.0,948.26
2005-04-18,Nifty500 Quality 50,0.0,0.0,0.0,934.03
2005-04-19,Nifty500 Quality 50,0.0,0.0,0.0,922.97
2005-04-20,Nifty500 Quality 50,0.0,0.0,0.0,941.84
2005-04-21,Nifty500 Quality 50,0.0,0.0,0.0,953.51
2005-04-22,Nifty500 Quality 50,0.0,0.0,0.0,964.93
2005-04-25,Nifty500 Quality 50,0.0,0.0,0.0,967.07
2005-04-26,Nifty500 Quality 50,0.0,0.0,0.0,962.65
2005-04-27,Nifty500 Quality 50,0.0,0.0,0.0,956.4
2005-04-28,Nifty500 Quality 50,0.0,0.0,0.0,957.66
2005-04-29,Nifty500 Quality 50,0.0,0.0,0.0,939.42
2005-05-02,Nifty500 Quality 50,0.0,0.0,0.0,943.21
2005-05-03,Nifty500 Quality 50,0.0,0.0,0.0,942.66
2005-05-04,Nifty500 Quality 50,0.0,0.0,0.0,955.2
2005-05-05,Nifty500 Quality 50,0.0,0.0,0.0,966.77
2005-05-06,Nifty500 Quality 50,0.0,0.0,0.0,971.52
2005-05-09,Nifty500 Quality 50,0.0,0.0,0.0,985.23
2005-05-10,Nifty500 Quality 50,0.0,0.0,0.0,984.09
2005-05-11,Nifty500 Quality 50,0.0,0.0,0.0,979.59
2005-05-12,Nifty500 Quality 50,0.0,0.0,0.0,984.54
2005-05-13,Nifty500 Quality 50,0.0,0.0,0.0,983.76
2005-05-16,Nifty500 Quality 50,0.0,0.0,0.0,992.46
2005-05-17,Nifty500 Quality 50,0.0,0.0,0.0,983.13
2005-05-18,Nifty500 Quality 50,0.0,0.0,0.0,979.53
2005-05-19,Nifty500 Quality 50,0.0,0.0,0.0,985.9
2005-05-20,Nifty500 Quality 50,0.0,0.0,0.0,985.32
2005-05-23,Nifty500 Quality 50,0.0,0.0,0.0,988.28
