Date,Open,High,Low,Close
2005-04-01,0.0,0.0,0.0,1000.0
2005-04-04,0.0,0.0,0.0,1015.42
2005-04-05,0.0,0.0,0.0,1008.76
2005-04-06,0.0,0.0,0.0,1025.13
2005-04-07,0.0,0.0,0.0,1019.09
2005-04-08,0.0,0.0,0.0,1009.69
2005-04-11,0.0,0.0,0.0,999.58
2005-04-12,0.0,0.0,0.0,1005.32
2005-04-13,0.0,0.0,0.0,1005.21
2005-04-15,0.0,0.0,0.0,970.69
2005-04-18,0.0,0.0,0.0,958.05
2005-04-19,0.0,0.0,0.0,957.1
2005-04-20,0.0,0.0,0.0,970.42
2005-04-21,0.0,0.0,0.0,988.07
2005-04-22,0.0,0.0,0.0,1011.97
2005-04-25,0.0,0.0,0.0,1012.76
2005-04-26,0.0,0.0,0.0,1008.01
2005-04-27,0.0,0.0,0.0,1003.14
2005-04-28,0.0,0.0,0.0,996.41
2005-04-29,0.0,0.0,0.0,974.03
2005-05-02,0.0,0.0,0.0,958.87
2005-05-03,0.0,0.0,0.0,960.43
2005-05-04,0.0,0.0,0.0,979.52
2005-05-05,0.0,0.0,0.0,985.47
2005-05-06,0.0,0.0,0.0,992.14
2005-05-09,0.0,0.0,0.0,1010.83
2005-05-10,0.0,0.0,0.0,1009.94
2005-05-11,0.0,0.0,0.0,1013.55
2005-05-12,0.0,0.0,0.0,1027.13
2005-05-13,0.0,0.0,0.0,1036.11
2005-05-16,0.0,0.0,0.0,1049.95
2005-05-17,0.0,0.0,0.0,1037.93
2005-05-18,0.0,0.0,0.0,1041.34
2005-05-19,0.0,0.0,0.0,1052.37
2005-05-20,0.0,0.0,0.0,1050.89
2005-05-23,0.0,0.0,0.0,1058.17
2005-05-24,0.0,0.0,0.0,1061.05
2005-05-25,0.0,0.0,0.0,1061.22
2005-05-26,0.0,0.0,0.0,1057.1
2005-05-27,0.0,0.0,0.0,1048.25
2005-05-30,0.0,0.0,0.0,1040.17
2005-05-31,0.0,0.0,0.0,1047.16
2005-06-01,0.0,0.0,0.0,1055.72
2005-06-02,0.0,0.0,0.0,1049.68
2005-06-03,0.0,0.0,0.0,1059.23
2005-06-04,0.0,0.0,0.0,1067.25
2005-06-06,0.0,0.0,0.0,1069.2
2005-06-07,0.0,0.0,0.0,1068.22
2005-06-08,0.0,0.0,0.0,1062.47
2005-06-09,0.0,0.0,0.0,1067.09
2005-06-10,0.0,0.0,0.0,1062.97
2005-06-13,0.0,0.0,0.0,1060.26
2005-06-14,0.0,0.0,0.0,1065.6
2005-06-15,0.0,0.0,0.0,1073.81
2005-06-16,0.0,0.0,0.0,1054.91
2005-06-17,0.0,0.0,0.0,1035.65
2005-06-20,0.0,0.0,0.0,1023.13
2005-06-21,0.0,0.0,0.0,1029.26
2005-06-22,0.0,0.0,0.0,1037.05
2005-06-23,0.0,0.0,0.0,1040.58
2005-06-24,0.0,0.0,0.0,1053.91
2005-06-27,0.0,0.0,0.0,1060.23
2005-06-28,0.0,0.0,0.0,1042.0
2005-06-29,0.0,0.0,0.0,1057.44
2005-06-30,0.0,0.0,0.0,1064.25
2005-07-01,0.0,0.0,0.0,1076.51
2005-07-04,0.0,0.0,0.0,1089.86
2005-07-05,0.0,0.0,0.0,1078.23
2005-07-06,0.0,0.0,0.0,1094.38
2005-07-07,0.0,0.0,0.0,1086.64
2005-07-08,0.0,0.0,0.0,1108.98
2005-07-11,0.0,0.0,0.0,1133.02
2005-07-12,0.0,0.0,0.0,1133.68
2005-07-13,0.0,0.0,0.0,1143.11
2005-07-14,0.0,0.0,0.0,1152.97
2005-07-15,0.0,0.0,0.0,1166.81
2005-07-18,0.0,0.0,0.0,1193.09
2005-07-19,0.0,0.0,0.0,1197.89
2005-07-20,0.0,0.0,0.0,1198.48
2005-07-21,0.0,0.0,0.0,1205.73
2005-07-22,0.0,0.0,0.0,1224.62
2005-07-25,0.0,0.0,0.0,1232.09
2005-07-26,0.0,0.0,0.0,1226.93
2005-07-27,0.0,0.0,0.0,1229.15
2005-07-29,0.0,0.0,0.0,1224.23
2005-08-01,0.0,0.0,0.0,1228.76
2005-08-02,0.0,0.0,0.0,1265.07
2005-08-03,0.0,0.0,0.0,1267.22
2005-08-04,0.0,0.0,0.0,1286.51
2005-08-05,0.0,0.0,0.0,1309.35
2005-08-08,0.0,0.0,0.0,1292.94
2005-08-09,0.0,0.0,0.0,1296.41
2005-08-10,0.0,0.0,0.0,1328.07
2005-08-11,0.0,0.0,0.0,1342.26
2005-08-12,0.0,0.0,0.0,1360.36
2005-08-16,0.0,0.0,0.0,1382.57
2005-08-17,0.0,0.0,0.0,1404.32
2005-08-18,0.0,0.0,0.0,1395.06
2005-08-19,0.0,0.0,0.0,1407.29
2005-08-22,0.0,0.0,0.0,1410.14
2005-08-23,0.0,0.0,0.0,1369.59
2005-08-24,0.0,0.0,0.0,1344.26
2005-08-25,0.0,0.0,0.0,1371.72
2005-08-26,0.0,0.0,0.0,1394.7
2005-08-29,0.0,0.0,0.0,1400.06
2005-08-30,0.0,0.0,0.0,1416.86
2005-08-31,0.0,0.0,0.0,1430.37
2005-09-01,0.0,0.0,0.0,1440.64
2005-09-02,0.0,0.0,0.0,1444.64
2005-09-05,0.0,0.0,0.0,1461.96
2005-09-06,0.0,0.0,0.0,1464.76
2005-09-08,0.0,0.0,0.0,1480.08
2005-09-09,0.0,0.0,0.0,1474.37
2005-09-12,0.0,0.0,0.0,1487.56
2005-09-13,0.0,0.0,0.0,1499.52
2005-09-14,0.0,0.0,0.0,1488.66
2005-09-15,0.0,0.0,0.0,1520.34
2005-09-16,0.0,0.0,0.0,1535.38
2005-09-19,0.0,0.0,0.0,1562.37
2005-09-20,0.0,0.0,0.0,1541.04
2005-09-21,0.0,0.0,0.0,1498.26
2005-09-22,0.0,0.0,0.0,1418.44
2005-09-23,0.0,0.0,0.0,1434.26
2005-09-26,0.0,0.0,0.0,1497.29
2005-09-27,0.0,0.0,0.0,1530.3
2005-09-28,0.0,0.0,0.0,1551.04
2005-09-29,0.0,0.0,0.0,1554.21
2005-09-30,0.0,0.0,0.0,1534.38
2005-10-03,0.0,0.0,0.0,1545.04
2005-10-04,0.0,0.0,0.0,1558.36
2005-10-05,0.0,0.0,0.0,1545.52
2005-10-06,0.0,0.0,0.0,1521.12
2005-10-07,0.0,0.0,0.0,1511.73
2005-10-10,0.0,0.0,0.0,1509.54
